example_id,gid,system,human_groundedness,judge_groundedness,human_relevance,judge_relevance,human_actionability,judge_actionability,human_completeness,judge_completeness,human_policy_compliance,judge_policy_compliance,human_tone,judge_tone,human_hallucination,judge_hallucination,human_policy_violation,judge_policy_violation
ex04f99ade,g065,B1_simple_ml,4,5,4,2,4,2,4,2,4,4,4,3,0,False,0,False
ex075a8969,g026,resolveai_full,5,5,4,5,4,4,4,4,4,5,5,5,0,False,0,False
ex0a913a82,g076,B2_direct_llm,3,2,5,5,5,4,4,4,5,5,5,5,0,True,0,False
ex0abb5c27,g071,resolveai_full,5,4,5,5,3,4,3,3,5,5,5,5,0,False,0,False
ex0c78db74,g157,resolveai_full,5,5,5,2,3,2,3,2,5,4,5,4,0,False,0,False
ex13e58acd,g150,resolveai_full,5,5,5,3,5,4,4,3,5,5,5,4,0,False,0,False
ex1a00d908,g083,B2_direct_llm,5,5,5,5,3,5,5,5,5,5,5,5,0,False,0,False
ex1b0c2f96,g142,B2_direct_llm,5,5,5,5,5,4,4,4,5,5,5,5,0,False,0,False
ex1cf64bfa,g103,resolveai_full,3,5,4,2,2,2,2,2,4,4,5,4,1,False,0,False
ex233b18a5,g004,B1_simple_ml,3,5,4,3,2,2,2,2,4,4,5,4,1,False,0,False
ex23896bca,g033,resolveai_full,3,5,4,3,2,2,2,2,4,5,5,4,1,False,0,False
ex2b64f55b,g095,resolveai_full,5,5,5,5,3,2,5,5,5,5,5,5,0,False,0,False
ex2db71298,g032,resolveai_full,5,5,5,5,5,4,4,4,5,5,5,5,0,False,0,False
ex30e074ee,g018,resolveai_full,3,5,3,3,2,2,2,2,4,4,5,4,1,False,0,False
ex3579be49,g011,resolveai_full,5,4,5,5,3,4,3,4,5,5,5,5,0,False,0,False
ex36a91c41,g152,B1_simple_ml,4,2,2,1,2,1,2,1,5,5,5,4,0,True,0,False
ex39361d0e,g092,resolveai_full,3,3,4,3,2,2,2,2,4,4,5,4,1,True,0,False
ex39bc40ba,g133,B1_simple_ml,4,5,5,4,2,4,2,3,4,5,5,4,0,False,0,False
ex411fcea8,g088,B1_simple_ml,3,2,4,2,3,2,3,1,4,5,5,3,0,True,0,False
ex4bae1d5e,g005,B2_direct_llm,1,1,5,5,4,5,4,4,3,5,5,5,1,True,0,False
ex4d151220,g090,B2_direct_llm,5,5,5,5,5,5,4,5,5,5,5,5,0,False,0,False
ex585af068,g140,resolveai_full,5,5,4,3,5,4,3,3,5,5,5,4,0,False,0,False
ex59d6868f,g100,resolveai_full,5,5,4,5,5,4,3,4,5,5,5,4,0,False,0,False
ex5c8e88b5,g142,resolveai_full,5,5,5,5,5,4,4,4,5,5,5,5,0,False,0,False
ex60a6b5a0,g093,resolveai_full,5,5,3,5,3,5,3,4,5,5,5,5,0,False,0,False
ex61130a1c,g145,resolveai_full,2,2,2,3,1,2,1,2,3,2,5,4,1,True,0,True
ex61f3d1f8,g094,resolveai_full,5,5,5,2,4,2,4,2,5,5,5,4,0,False,0,False
ex67522283,g185,B1_simple_ml,5,5,5,3,5,4,4,3,5,5,5,5,0,False,0,False
ex6d588182,g108,B1_simple_ml,4,1,2,1,3,2,2,1,5,5,5,4,1,True,0,False
ex6e2f511c,g038,B2_direct_llm,2,2,4,5,4,4,3,3,5,5,5,5,1,True,0,False
ex70439bf9,g194,B2_direct_llm,5,2,5,5,5,4,5,4,5,5,5,5,0,True,0,False
ex7b2956a0,g005,resolveai_full,5,4,5,5,4,4,4,4,5,5,5,4,0,False,0,False
ex87bb3218,g057,B1_simple_ml,5,5,5,5,5,5,4,5,5,5,5,5,0,False,0,False
ex90b522d3,g135,B1_simple_ml,1,1,1,2,1,2,1,2,5,5,5,3,1,True,0,False
exaa03e88c,g012,B1_simple_ml,5,5,3,3,2,2,2,2,5,4,5,5,0,False,0,False
exaa53c772,g176,resolveai_full,5,4,5,4,4,4,4,3,5,5,5,4,0,False,0,False
exb047608c,g052,B2_direct_llm,5,2,5,5,5,4,5,4,5,5,5,5,0,True,0,False
exb0aa2ec1,g088,B2_direct_llm,3,1,5,5,4,4,3,3,5,5,5,5,1,True,0,False
exb75bc04a,g113,resolveai_full,5,5,4,4,4,4,4,4,5,5,5,5,0,False,0,False
exbaf2b751,g168,B2_direct_llm,5,5,5,5,4,5,4,5,5,5,5,5,0,False,0,False
exbfdd336a,g156,B2_direct_llm,5,5,5,5,3,5,5,5,5,5,5,5,0,False,0,False
exc2b19f7d,g054,resolveai_full,5,3,5,5,5,4,4,4,5,5,5,4,0,True,0,False
excb07e3f8,g146,B1_simple_ml,5,5,3,3,3,4,3,3,5,5,5,5,0,False,0,False
exd6af732b,g026,B1_simple_ml,4,4,5,3,3,3,3,3,5,5,5,4,0,False,0,False
exd7216461,g061,resolveai_full,5,4,5,5,4,4,4,4,5,5,5,5,0,False,0,False
exd8d95272,g101,resolveai_full,5,5,4,4,3,2,3,2,5,5,5,5,0,False,0,False
exdf2c4f5c,g068,B1_simple_ml,5,5,5,5,4,5,4,4,5,5,5,5,0,False,0,False
exe95c4a22,g145,B1_simple_ml,5,5,5,5,5,4,4,5,5,5,5,5,0,False,0,False
exf4e2af1a,g004,resolveai_full,3,1,5,3,2,2,2,2,5,4,5,3,1,True,0,False
exf847b080,g065,resolveai_full,3,5,4,3,2,4,2,3,5,5,5,5,1,False,0,False
