gid,annotator,field,old,new,rule
g048,A,insufficient_context,False,True,"R1,R7"
g126,A,should_escalate,True,False,R1
g126,A,escalation_reason,repeat_contact,none,R1
g153,A,insufficient_context,False,True,R7
g011,A,intent,general_complaint,keyboard_text_bug,R5
g029,A,taxonomy_gap,False,True,"R2,R4"
g063,A,insufficient_context,False,True,R5
g077,A,intent,performance_crash,battery_power,R6
g077,A,multi_intent,False,True,R6
g085,A,insufficient_context,False,True,R5
g113,A,insufficient_context,False,True,"R5,R7"
g146,A,intent,apps_services,general_complaint,R4
g146,A,taxonomy_gap,False,True,R4
g148,A,intent,connectivity,apps_services,R6
g170,A,intent,apps_services,general_complaint,R4
g170,A,taxonomy_gap,False,True,R4
g171,A,multi_intent,False,True,R6
g006,A,intent,performance_crash,apps_services,R2
g015,A,taxonomy_gap,False,True,meta
g056,A,taxonomy_gap,False,True,meta
g128,A,taxonomy_gap,False,True,meta
g166,A,taxonomy_gap,False,True,meta
g023,A,multi_intent,False,True,meta
g027,A,multi_intent,False,True,meta
g064,A,multi_intent,False,True,meta
g089,A,multi_intent,False,True,meta
g110,A,multi_intent,False,True,meta
g114,A,multi_intent,False,True,meta
g117,A,multi_intent,False,True,meta
g154,A,multi_intent,False,True,meta
g033,A,insufficient_context,False,True,meta
g037,A,insufficient_context,False,True,meta
g062,A,insufficient_context,False,True,meta
g090,A,insufficient_context,False,True,meta
g101,A,insufficient_context,False,True,meta
g112,A,insufficient_context,False,True,meta
g116,A,insufficient_context,False,True,meta
g118,A,insufficient_context,False,True,meta
g142,A,insufficient_context,False,True,meta
g145,A,insufficient_context,False,True,meta
g168,A,insufficient_context,False,True,meta
g169,A,insufficient_context,False,True,meta
g173,A,insufficient_context,False,True,meta
g048,B,should_escalate,False,True,"R1,R7"
g048,B,escalation_reason,none,repeat_contact,"R1,R7"
g048,B,insufficient_context,False,True,"R1,R7"
g102,B,should_escalate,True,False,R1
g102,B,escalation_reason,repeat_contact,none,R1
g131,B,should_escalate,False,True,R1
g131,B,escalation_reason,none,repeat_contact,R1
g135,B,should_escalate,True,False,R1
g135,B,escalation_reason,repeat_contact,none,R1
g153,B,should_escalate,True,False,R7
g153,B,escalation_reason,private_info,none,R7
g153,B,insufficient_context,False,True,R7
g191,B,should_escalate,False,True,R1
g191,B,escalation_reason,none,repeat_contact,R1
g024,B,intent,hardware_damage,connectivity,R3
g029,B,intent,keyboard_text_bug,apps_services,"R2,R4"
g029,B,taxonomy_gap,False,True,"R2,R4"
g063,B,intent,apps_services,general_complaint,R5
g063,B,insufficient_context,False,True,R5
g077,B,multi_intent,False,True,R6
g085,B,intent,performance_crash,general_complaint,R5
g085,B,insufficient_context,False,True,R5
g087,B,intent,hardware_damage,connectivity,R3
g113,B,intent,general_complaint,other,"R5,R7"
g113,B,insufficient_context,False,True,"R5,R7"
g121,B,intent,performance_crash,apps_services,R2
g134,B,intent,performance_crash,apps_services,R2
g146,B,intent,other,general_complaint,R4
g146,B,taxonomy_gap,False,True,R4
g170,B,intent,other,general_complaint,R4
g170,B,taxonomy_gap,False,True,R4
g171,B,intent,hardware_damage,account_store_repair,R6
g171,B,escalation_reason,hardware,private_info,R6
g171,B,multi_intent,False,True,R6
g006,B,intent,performance_crash,apps_services,R2
g015,B,taxonomy_gap,False,True,meta
g056,B,taxonomy_gap,False,True,meta
g128,B,taxonomy_gap,False,True,meta
g166,B,taxonomy_gap,False,True,meta
g023,B,multi_intent,False,True,meta
g027,B,multi_intent,False,True,meta
g064,B,multi_intent,False,True,meta
g089,B,multi_intent,False,True,meta
g110,B,multi_intent,False,True,meta
g114,B,multi_intent,False,True,meta
g117,B,multi_intent,False,True,meta
g154,B,multi_intent,False,True,meta
g033,B,insufficient_context,False,True,meta
g037,B,insufficient_context,False,True,meta
g062,B,insufficient_context,False,True,meta
g090,B,insufficient_context,False,True,meta
g101,B,insufficient_context,False,True,meta
g112,B,insufficient_context,False,True,meta
g116,B,insufficient_context,False,True,meta
g118,B,insufficient_context,False,True,meta
g142,B,insufficient_context,False,True,meta
g145,B,insufficient_context,False,True,meta
g168,B,insufficient_context,False,True,meta
g169,B,insufficient_context,False,True,meta
g173,B,insufficient_context,False,True,meta
