gid,context,customer_message,intent_A,intent_B,should_escalate_A,should_escalate_B,escalation_reason_A,escalation_reason_B,note_A,note_B
g011,customer: I️ used lomography 100 speed film for the last pics I’ve posted. Honestly I️ wasn’t so crazy about it. I️ highly doubt I’ll use it again. 🤷🏽‍♀️,Why tf is this glitch still fuckn up? what do I️ need to do. This shit is annoying. 😩,general_complaint,keyboard_text_bug,False,False,none,none,"no symptom; clarify. mild profanity, not abuse",vague 'glitch' but I-bug glyph visible in text; context off-topic
g024,,"Thanks I love plugging your dongle into my phone and getting the message, ""This device accessory is not supported"" ??????????????",connectivity,hardware_damage,False,False,none,none,HARD: accessory not supported -> connectivity (guide note),"accessory not supported; port/cable issue, no damage stated; troubleshoot first"
g029,"customer: The function ""paste"" (command + V) is not working in my #MacBookAir since the last security update. Can you help me?
brand: We'd like to look into this with you. To get started, does your Command functions work? Since noticing the issue, have you restarted the Mac. Does it resolve the issue?","Command is working. The problem is in the software, not in the hardware. I restarted a few times and the problema remains.",apps_services,keyboard_text_bug,True,True,repeat_contact,repeat_contact,"restarted several times, problem remains",Cmd+V shortcut broken; restarted several times already. Intent hard: no clipboard bucket
g048,,hey can you check the dm i sent!,other,other,True,False,repeat_contact,none,HARD: asks about an existing DM -> human must check (guide note),"meta request about DM, no symptom"
g063,,Morning what does this continuous pop-up mean please? I’m on the latest IOS. Thanks - Tommie. <url>,general_complaint,apps_services,False,False,none,none,"unknown pop-up, screenshot",Safari ad pop-up
g077,,My iPhone X is rather warm and glitchy,performance_crash,battery_power,False,False,none,none,,first concrete symptom 'warm' (overheating); glitchy vague
g085,,why is my iPhone X doing this when flicking through contacts? <url>,general_complaint,performance_crash,False,False,none,none,screenshot only,video-only glitch in Contacts; assume display/lag glitch
g087,,my beats are having weird audio issues,connectivity,hardware_damage,False,False,none,none,HARD: Beats audio issue; clarify (guide note),"Beats audio issue, no damage stated; clarify (could be Bluetooth)"
g102,"customer: What to do when iPhone starts showing black screen with spinning wheel, then locks down? Force restart didn’t worked
customer: I have the same problem now😡
brand: We'd love to see what we can do to help out. Which iPhone model do you have? Also, which version of iOS are you running? Let us know the details in a DM and we'll work together on this: <url>",iphone 7 with the latest IOS. now ive switched the time settings and the phone seems to work fine. but when i switch the time back it keeps showing that spinning wheel and locks my phone.,performance_crash,performance_crash,False,True,none,repeat_contact,,force restart failed per thread; workaround found; 1 brand turn
g113,,Proofreading <url>,other,general_complaint,False,False,none,none,off-topic,single word + image; no symptom
g121,"customer: Buggiest app on my #iPhone SE: ""Phone."" VMs constantly crash it, making the touchscreen nonresponsive and requiring a restart.
brand: Being able to catch up on those missed calls is an important feature and we'd like you to have access without your iPhone becoming unresponsive. Which iOS version are we working with? You'll find that in Settings > General > About.
customer: 11.1.2 (15B202). Happens inconsistently when I listen to a VM without finishing playback.
brand: When did this start happening? Did you notice it start after an update or anything in particular?","Can’t recall exactly. At least 3x before today. Today was the first time closing the app didn’t solve the problem. I closed, but when I reopened, screen went white then crashed to home screen. Had to restart the phone.",apps_services,performance_crash,True,True,repeat_contact,repeat_contact,"recurring 3x, restart needed","Phone app crashes; 2 brand turns, restarts tried"
g126,,Yo you need to get your shit together this is like the 3rd time youve deleted my fucking library with an update YOU AND I BOTH KNOW THAT CAM’RON KILLA SEASON WAS NOT THE LAST ALBUM I DOWNLOADED. WE SWITCHING TO SPOTIFY.,data_loss_sync,data_loss_sync,True,False,repeat_contact,none,"3rd time, abusive",library deleted by update; abusive but symptomatic
g131,"customer: hi I want to change simcard on my iPhone SE (ios 11) but it said that the simcard not valid, then I tried to put back the simcard that I usually use but the simcard not valid showed again. what to do? I cant use my phone rite now :(
brand: Hello and thanks for reaching out. Let's see what we can do to get this resolved. When you changed the sim card, did you follow these steps: <url>","yes of course, I try to place it right for many times but it still didn't work",connectivity,connectivity,True,False,repeat_contact,none,"SIM invalid, retried many times",SIM not valid; reinserting is not a standard step
g134,,"Our Safari browsers since the last Apple security update, keep crashing, the minute you open Safari it crashes, we keep sending in the reports. Is there a problem with the last security update that would do this?",apps_services,performance_crash,False,False,none,none,Safari,Safari crash
g135,customer: Seems iOS 11.2 #Camera has a focus issue. Just in time for my cousins wedding tonight. Guess I won't be taking any pics. #AppleFail #iPhoneX,Same here - hope 11.2.1 will come soon and fix this. No chance of solving this one with any of the usual tricks.,apps_services,apps_services,False,True,none,repeat_contact,11.2 camera focus bug,'no chance with usual tricks' = steps tried; weak
g146,,should we be worried about the ROOT issue? How do we fix?,apps_services,other,False,False,none,none,HARD: macOS root security -> apps_services (guide note),"question about root vulnerability, not a device symptom"
g148,,can’t connect iPhone neither iPad via wifi to iTunes when I try to sync after iOS 11.2 upgrade #itunes #iphone,connectivity,apps_services,False,False,none,none,wifi sync,iTunes Wi-Fi sync; could be data_loss_sync
g153,,is so annoying to have to wait multiple days to reset a password 🙄🙄🙄,account_store_repair,account_store_repair,False,True,none,private_info,HARD: complaint about security delay; explainable publicly,password reset wait; account recovery needs Apple ID; explanation could be public
g170,"customer: Dear , we noticed a *HUGE* security issue at MacOS High Sierra. Anyone can login as ""root"" with empty password after clicking on login button several times. Are you aware of it ?",I can confirm the behavior on my machine running 10.13.1. Absolutely unbelievable!,apps_services,other,False,False,none,none,macOS root (see g146),"root vuln confirmation, not a support symptom"
g171,,"Hey , I'm trying to schedule a service appointment for a black screen, requires a two-factor authentication that is being sent to the same phone that doesn't work? Tried to call, it also requires me to log into the phone that currently doesn't work??",account_store_repair,hardware_damage,True,True,private_info,hardware,appointment blocked by 2FA,black screen first; 2FA blocking appointment also private_info
g191,"customer: After i updated my iphone 6s to 11.1.2 the battery started draining really fast and there is issue in charging too
brand: We get how important battery life is to be able to rely on your device. Let's get started troubleshooting what is going on. How long ago did you update to 11.1.2? Additionally, in the App Store, do you have any updates to install? If so, go ahead and do so.",it’s been 5-6 days when i updated to 11.1.2 and all the apps are on their latest version. So what’s next?,battery_power,battery_power,True,False,repeat_contact,none,"followed steps, 'what's next'","1 brand turn; update done, no restart/reset stated"
