gid,customer_tweet_id,brand_tweet_id,created_at,context,customer_message,brand_reply,n_context_turns,customer_seen_in_kb,intent,should_escalate,escalation_reason,note,taxonomy_gap,insufficient_context,multi_intent,evidence_unavailable
g000,566786,566785,2017-12-03 01:26:50+00:00,,"my headphone jack on my phone wasn’t working for months and today it started to work but my speaker stopped, anyway to get it off of headphones when nothing is plugged in to it?",We're happy to assist. Which iOS version are you currently running? Go to Settings > General > About for the version.,0,False,hardware_damage,True,hardware,"jack dead for months, now speaker dead; stuck in headphone mode - likely port/speaker fault",False,False,False,False
g001,491444,491443,2017-12-01 16:27:37+00:00,,this iOS update SUCKS!!!!!!!! Phone freezes literally every 5 minutes. Seriously considering getting rid of my iPhone.,That's not the experience we want you to have. We want to help you. Send us a DM letting us know the exact version of iOS on your phone. <url>,0,False,performance_crash,False,none,,False,False,False,False
g002,90244,90243,2017-11-30 12:38:21+00:00,,all most 22 days has passed & no outcome in my case (<PHONE>).,Please send us a Direct Message at the link below so we can review this more with you today. Thank you! <url>,0,False,account_store_repair,True,private_info,open case 22 days; needs case lookup (repeat_contact also fits),False,False,False,False
g003,2913288,2913290,2017-11-28 22:34:23+00:00,"customer: My phones Operating System was the last version of ios10 (10.03 maybe). Yesterday I faced lags on various applications and 1-3
brand: Thanks for reaching out and providing detailed information. We want to help. Did you back up your phone before updating? Do you have a computer with iTunes on it?",I did not back up before updating. Yes i have a macbook,"OK, let's try to force re-start it. Here's how: <url>",2,False,performance_crash,False,none,continuing lag-after-update thread; answering brand questions,False,False,False,False
g004,592291,592290,2017-12-03 16:13:40+00:00,,I updated my iOS and lost all my pictures from my first two days in Rome. I’m so mad st y’all,"We understand how precious those memories are, and want to get you to the right place for help with locating them. Reach our Photos team here: <url>",0,False,data_loss_sync,False,none,reply: check Recently Deleted / iCloud Photo Library,False,False,False,False
g005,2961372,2961370,2017-11-29 20:51:28+00:00,,fix the fcking I problem I’m tired of seeing question marks on my damn timeline,"Great news. The issue was fixed in a recent update. To update to iOS 11.1.2, go to Settings > General > Software Update and tap Download and Install. We recommend having a current backup prior to updating. If you have any questions, just let us know.",0,False,keyboard_text_bug,False,none,,False,False,False,False
g006,462021,462023,2017-12-01 02:45:56+00:00,"customer: found a bug <url>
brand: It looks like your video hasn't come through on our end, but we'd like to help regardless. What's happening exactly in your device and which model do you have? Also, which exact iOS version is installed and have you tried any steps so far?",iPhone 7 iOS 11.1.2. Settings trying to change my email signature. Click on it and crash.,Does this issue persist after restarting? Follow the steps here and let us know if it works for you: <url> DM us if you are unsuccessful: <url>,2,False,apps_services,False,none,Settings app crashes on email signature,False,False,False,False
g007,506471,506472,2017-12-01 22:23:05+00:00,"customer: why can’t my sister listen to music she bought on itunes when i have individual apple music ?
brand: We’d like to help with your Apple Music. Is she also using Apple Music? Are you both using the same Apple ID?
customer: we’re both using the same apple id. she doesn’t have an apple music so she’s just listening to a song she BOUGHT on itunes yesterday . i pay for individual apple music monthly . w
brand: Thanks. Does she get an error message when she tries to play the song?",she said she can listen to the songs unless i’m listening to apple music on my phone . we both get a message that says “looks like you’re listening on another device”,"Reach out to us via DM, then we can advise you on this from there. <url>",4,False,apps_services,False,none,2 brand turns but diagnosis reached: shared Apple ID + Individual plan = one stream; public answer possible,False,False,False,False
g008,2964132,2964131,2017-11-29 21:43:51+00:00,,"Hi, I got replacement EarPods and the guy told me yesterday I don’t have to send them back to you guys, but I have a return shipping label. Do I send them to Apple? He is the Repair ID: <LONG_ID>",We're glad to look into this with you and help! Please DM us to proceed from here. <url>,0,True,account_store_repair,True,private_info,repair ID / return label logistics,False,False,False,False
g009,2890666,2890664,2017-11-28 10:41:26+00:00,,"after a few days updating to iOS 11.1.1, my WiFi connection is short-reaching area.",Hello. We'd love to assist you with this. Does this issue occur with multiple WiFi networks or one in particular?,0,False,connectivity,False,none,,False,False,False,False
