customer_tweet_id,message,silver,band,confidence,human,correct
2261581,What’s wrong with the iPhone period? Mine keep glitching and it’s making me mad🤦🏽‍♀️ <url>,general_complaint,LOW,0.3,performance_crash,False
1526977,"i regret updating my iOS. The lil question mark in a box whenever I type ""I"" is for the birds. Fix it",keyboard_text_bug,HIGH,0.95,keyboard_text_bug,True
1924716,Anyone else rip a flap of skin off their fingers when switching out the charger extension cord? No? Just me that’s incompetent? 😫,general_complaint,LOW,0.3,other,False
2774292,"Understandable. I was using Microsoft Word. My laptop updated to the newest system and when it came back on, my work was gone! Interesting thing is that it reco",general_complaint,LOW,0.3,data_loss_sync,False
1585322,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ WANT ANSWERS,keyboard_text_bug,HIGH,0.95,keyboard_text_bug,True
1583003,Hurry up and fix this “?” box bs,keyboard_text_bug,HIGH,0.95,keyboard_text_bug,True
2202159,When is going to ship out the #iOS11 update that will give back the speed my #iPhone once had? So slow since 11.0.,performance_crash,HIGH,0.95,performance_crash,True
1761120,But my phone screen is cracked to the point where I cannot see anything lol,hardware_damage,HIGH,0.95,hardware_damage,True
1979944,ay man yall wrong for freezing my phone and deleting all my messages!,general_complaint,LOW,0.3,performance_crash,False
1217562,"my iphone was slow with the new ios update, is there any solution?",performance_crash,HIGH,0.95,performance_crash,True
430135,It’s version 11.0.1 The only issue is my home WiFi and only in my bedroom,connectivity,HIGH,0.95,connectivity,True
2299868,"Only podcasts were effected. I was using the second to most recent version, I updated after it happened in the vain hopes it was a glitch an update could fix. I",performance_crash,HIGH,0.897,apps_services,False
2562325,I have an issue with my FaceTime Live Photos,apps_services,HIGH,0.856,apps_services,True
1834694,"Hey , #ios11 has been great so far. My battery dies about 3 times/day, phone freezes half the day, and nothing works!",battery_power,HIGH,0.95,battery_power,True
2060155,hey you're charging me 5.99 again! I did not purchase anything from your store recently!!!,account_store_repair,HIGH,0.95,account_store_repair,True
387637,"El nuevo #iOS11.0.2 es horrible, el #iPhone se pone ardiendo y la batería ... bueno, de la batería mejor ni hablar...",non_english,HIGH,0.95,non_english,True
1681698,", iOS needs a way to turn off cellular data roaming while in airplane mode.",connectivity,HIGH,0.883,other,False
1657754,Hi only like 1/2 my emojis are loading since the update cc,general_complaint,LOW,0.3,keyboard_text_bug,False
2057307,this last update is total bullshit 11.0.3! My battery is draining so fast and I have cut off everything that runs in the background. Also I’m sick I’m looking a,battery_power,HIGH,0.949,battery_power,True
2303444,Dear - thanks for your #iphone #ios update which now not only made my phone work even worse but also erased all my music. #killingme,general_complaint,LOW,0.3,data_loss_sync,False
2060172,IOS 11 so trash. My phone intermittently restarts itself and it’s a iPhone 7 Plus. Battery life is worse. 🚮🚮🚮,battery_power,HIGH,0.922,performance_crash,False
854596,your iOS 11.0.3 works bad. Reaallllyyy bad!!!,general_complaint,MEDIUM,0.662,general_complaint,True
2834443,pls help! I purchased this album but I can't listen to it 😭 <url>,general_complaint,MEDIUM,0.654,apps_services,False
2779285,Thank you for that. Didn't realize it was public. I removed tweet. How would she connect with you?,connectivity,MEDIUM,0.665,other,False
2040124,What a joke tried updating software now cannot use iPod!!! DO NOT UPDATE TO 11.1!!!!!!!!!!!!,general_complaint,MEDIUM,0.705,performance_crash,False
2284831,Why you concest ignoring me,general_complaint,MEDIUM,0.696,general_complaint,True
957613,Why is it that some of my imported excel files get this error(Safari) even after editing them on iOS? <url>,apps_services,HIGH,0.91,apps_services,True
1018324,I’ve noticed it most when I try to in messaging and photos. Like if I try to send a pic. But it happens randomly as well. :(,general_complaint,LOW,0.3,general_complaint,True
